Red,Green,Blue
0.243,0.598,0.159
0.266,0.569,0.165
0.236,0.601,0.163
0.273,0.552,0.174
0.274,0.573,0.154
0.273,0.568,0.159
0.268,0.558,0.175
0.259,0.614,0.127
0.235,0.597,0.168
0.273,0.561,0.166
0.242,0.592,0.165
0.274,0.551,0.175
0.283,0.544,0.173
0.230,0.607,0.162
0.241,0.599,0.160
0.271,0.558,0.171
0.249,0.586,0.165
0.250,0.585,0.165
0.254,0.584,0.162
0.253,0.586,0.161
0.262,0.560,0.178
0.254,0.567,0.178
0.285,0.546,0.169
0.277,0.547,0.177
0.266,0.551,0.182
0.226,0.600,0.174
0.247,0.580,0.173
0.258,0.578,0.164
0.256,0.574,0.170
0.243,0.589,0.168
0.242,0.596,0.161
0.289,0.542,0.169
0.276,0.560,0.164
0.296,0.526,0.178
0.275,0.558,0.168
0.241,0.605,0.154
0.232,0.596,0.172
0.291,0.536,0.173
0.237,0.607,0.156
0.251,0.579,0.170
0.236,0.596,0.168
0.241,0.606,0.153
0.274,0.577,0.149
0.269,0.572,0.159
0.273,0.566,0.161
0.251,0.589,0.160
0.237,0.614,0.148
0.260,0.580,0.160
0.265,0.566,0.169
0.264,0.581,0.155
0.278,0.577,0.146
0.330,0.494,0.176
0.258,0.590,0.151
0.323,0.504,0.173
0.345,0.472,0.183
0.281,0.558,0.161
0.268,0.580,0.152
0.251,0.591,0.158
0.278,0.562,0.160
0.332,0.488,0.179
0.301,0.524,0.176
0.274,0.577,0.150
0.284,0.558,0.158
0.246,0.595,0.160
0.288,0.563,0.149
0.271,0.595,0.134
0.279,0.560,0.161
0.294,0.541,0.165
0.287,0.564,0.150
0.285,0.571,0.144
0.289,0.577,0.134
0.336,0.508,0.156
0.287,0.575,0.138
0.266,0.585,0.149
0.290,0.549,0.161
0.311,0.527,0.162
0.292,0.556,0.152
0.284,0.557,0.160
0.288,0.550,0.163
0.290,0.511,0.198
0.296,0.551,0.153
0.307,0.537,0.157
0.276,0.573,0.151
0.318,0.530,0.152
0.248,0.613,0.139
0.273,0.581,0.146
0.310,0.530,0.160
0.315,0.521,0.164
0.295,0.553,0.152
0.291,0.560,0.149
0.249,0.621,0.130
0.242,0.603,0.155
0.262,0.581,0.157
0.245,0.603,0.152
0.253,0.598,0.149
0.203,0.639,0.158
