Red,Green,Blue
0.292,0.509,0.199
0.300,0.511,0.189
0.295,0.520,0.186
0.313,0.484,0.203
0.308,0.497,0.195
0.293,0.513,0.193
0.267,0.551,0.182
0.265,0.551,0.185
0.276,0.544,0.180
0.270,0.534,0.196
0.260,0.552,0.188
0.272,0.548,0.180
0.295,0.520,0.185
0.239,0.582,0.179
0.270,0.542,0.188
0.288,0.521,0.191
0.273,0.540,0.186
0.277,0.545,0.178
0.237,0.594,0.169
0.268,0.558,0.174
0.263,0.562,0.175
0.268,0.561,0.170
0.297,0.535,0.168
0.263,0.566,0.172
0.266,0.563,0.171
0.244,0.581,0.175
0.276,0.553,0.170
0.307,0.510,0.183
0.303,0.521,0.176
0.290,0.534,0.176
0.232,0.570,0.198
0.213,0.572,0.215
0.303,0.519,0.178
0.313,0.499,0.188
0.320,0.500,0.180
0.296,0.519,0.186
0.301,0.514,0.184
0.291,0.539,0.169
0.291,0.527,0.182
0.333,0.470,0.197
0.264,0.562,0.174
0.296,0.529,0.174
0.277,0.551,0.172
0.316,0.502,0.182
0.290,0.543,0.168
0.282,0.532,0.187
0.283,0.535,0.182
0.315,0.500,0.185
0.318,0.508,0.173
0.304,0.516,0.180
0.318,0.495,0.187
0.321,0.502,0.178
0.326,0.500,0.174
0.324,0.507,0.169
0.336,0.493,0.171
0.319,0.498,0.183
0.305,0.513,0.181
0.310,0.507,0.182
0.301,0.527,0.171
0.300,0.521,0.178
0.295,0.525,0.181
0.294,0.524,0.182
0.286,0.531,0.182
0.286,0.541,0.173
0.285,0.542,0.173
0.280,0.552,0.168
0.249,0.587,0.164
0.259,0.576,0.165
0.279,0.542,0.179
0.289,0.527,0.184
0.294,0.529,0.177
0.272,0.548,0.180
0.278,0.544,0.178
0.266,0.568,0.166
0.272,0.551,0.177
0.268,0.555,0.177
0.295,0.541,0.164
0.259,0.565,0.175
