Red,Green,Blue
0.171,0.685,0.145
0.202,0.649,0.149
0.164,0.688,0.148
0.205,0.637,0.158
0.185,0.685,0.130
0.217,0.627,0.156
0.196,0.644,0.160
0.160,0.740,0.101
0.164,0.679,0.157
0.203,0.645,0.152
0.189,0.659,0.153
0.201,0.638,0.160
0.222,0.618,0.161
0.142,0.711,0.148
0.160,0.696,0.144
0.201,0.643,0.156
0.174,0.678,0.147
0.170,0.684,0.146
0.187,0.668,0.146
0.176,0.679,0.145
0.198,0.640,0.162
0.204,0.625,0.171
0.208,0.646,0.146
0.248,0.589,0.163
0.229,0.600,0.170
0.168,0.668,0.164
0.194,0.644,0.162
0.217,0.634,0.149
0.185,0.663,0.152
0.171,0.677,0.152
0.184,0.670,0.145
0.223,0.625,0.152
0.204,0.647,0.149
0.223,0.625,0.151
0.176,0.681,0.143
0.160,0.707,0.132
0.180,0.658,0.162
0.246,0.593,0.161
0.128,0.742,0.130
0.205,0.637,0.157
0.182,0.666,0.152
0.144,0.723,0.133
0.165,0.712,0.123
0.171,0.691,0.138
0.158,0.704,0.138
0.117,0.747,0.136
0.129,0.746,0.125
0.163,0.699,0.138
0.179,0.668,0.153
0.211,0.653,0.136
0.190,0.686,0.124
0.249,0.588,0.163
0.152,0.720,0.128
0.236,0.602,0.161
0.275,0.557,0.167
0.200,0.664,0.137
0.197,0.677,0.126
0.145,0.713,0.142
0.224,0.633,0.143
0.308,0.523,0.170
0.251,0.589,0.160
0.192,0.678,0.130
0.202,0.666,0.132
0.155,0.697,0.148
0.194,0.681,0.125
0.175,0.710,0.115
0.195,0.666,0.140
0.217,0.639,0.143
0.214,0.661,0.126
0.211,0.675,0.113
0.229,0.662,0.110
0.287,0.579,0.134
0.243,0.640,0.117
0.193,0.678,0.128
0.212,0.651,0.137
0.242,0.618,0.140
0.240,0.625,0.135
0.224,0.638,0.138
0.225,0.634,0.140
0.202,0.627,0.170
0.254,0.613,0.133
0.217,0.653,0.130
0.207,0.668,0.125
0.234,0.637,0.129
0.193,0.685,0.122
0.194,0.687,0.119
0.242,0.615,0.143
0.245,0.611,0.144
0.174,0.702,0.124
0.218,0.657,0.125
0.213,0.668,0.119
0.188,0.678,0.134
0.159,0.706,0.135
0.178,0.689,0.133
0.126,0.739,0.135
0.055,0.796,0.149
