Red,Green,Blue
0.228,0.578,0.194
0.246,0.573,0.181
0.233,0.591,0.175
0.255,0.548,0.198
0.270,0.545,0.185
0.242,0.580,0.179
0.209,0.619,0.172
0.201,0.623,0.176
0.236,0.595,0.169
0.215,0.597,0.188
0.204,0.616,0.179
0.197,0.628,0.175
0.244,0.579,0.177
0.148,0.681,0.171
0.211,0.611,0.178
0.245,0.577,0.178
0.223,0.602,0.175
0.237,0.595,0.168
0.137,0.705,0.158
0.207,0.630,0.163
0.223,0.608,0.169
0.161,0.683,0.156
0.252,0.591,0.157
0.213,0.627,0.160
0.225,0.613,0.162
0.191,0.645,0.164
0.211,0.628,0.161
0.271,0.554,0.175
0.246,0.585,0.169
0.237,0.597,0.167
0.111,0.683,0.206
0.030,0.750,0.221
0.221,0.597,0.182
0.261,0.560,0.179
0.280,0.548,0.171
0.234,0.582,0.184
0.258,0.568,0.174
0.212,0.623,0.165
0.224,0.604,0.173
0.310,0.482,0.208
0.165,0.665,0.170
0.249,0.582,0.169
0.213,0.623,0.164
0.269,0.550,0.181
0.234,0.602,0.164
0.212,0.607,0.181
0.196,0.622,0.182
0.284,0.530,0.187
0.269,0.560,0.171
0.242,0.577,0.181
0.297,0.526,0.177
0.276,0.546,0.178
0.288,0.545,0.168
0.285,0.551,0.164
0.288,0.542,0.171
0.276,0.534,0.190
0.274,0.549,0.177
0.253,0.577,0.170
0.256,0.585,0.160
0.266,0.561,0.174
0.240,0.591,0.170
0.224,0.597,0.179
0.227,0.595,0.178
0.224,0.610,0.166
0.226,0.604,0.170
0.219,0.625,0.156
0.154,0.688,0.158
0.167,0.678,0.155
0.218,0.611,0.171
0.226,0.596,0.178
0.235,0.594,0.171
0.206,0.612,0.182
0.215,0.614,0.171
0.197,0.643,0.159
0.182,0.639,0.179
0.151,0.672,0.177
0.238,0.606,0.157
0.164,0.667,0.170
