Red,Green,Blue
0.357,0.418,0.225
0.355,0.405,0.240
0.354,0.413,0.233
0.357,0.400,0.243
0.369,0.396,0.234
0.338,0.423,0.239
0.350,0.409,0.241
0.356,0.430,0.214
0.354,0.413,0.233
0.345,0.431,0.224
0.351,0.405,0.244
0.356,0.413,0.230
0.344,0.423,0.232
0.360,0.409,0.231
0.357,0.412,0.231
0.360,0.406,0.234
0.361,0.411,0.228
0.370,0.403,0.227
0.351,0.419,0.230
0.362,0.407,0.231
0.349,0.403,0.248
0.345,0.410,0.244
0.352,0.405,0.243
0.325,0.430,0.245
0.333,0.422,0.246
0.324,0.439,0.237
0.345,0.418,0.237
0.334,0.439,0.228
0.337,0.436,0.227
0.335,0.435,0.230
0.347,0.412,0.241
0.348,0.430,0.221
0.355,0.423,0.223
0.331,0.425,0.243
0.347,0.418,0.236
0.341,0.429,0.230
0.334,0.425,0.241
0.351,0.421,0.228
0.349,0.428,0.223
0.353,0.407,0.240
0.331,0.446,0.224
0.349,0.422,0.228
0.371,0.410,0.219
0.359,0.409,0.232
0.361,0.406,0.232
0.361,0.409,0.229
0.366,0.410,0.224
0.341,0.432,0.226
0.337,0.424,0.239
0.335,0.430,0.235
0.362,0.423,0.215
0.361,0.412,0.227
0.366,0.417,0.218
0.365,0.410,0.226
0.361,0.414,0.225
0.353,0.416,0.231
0.350,0.427,0.222
0.359,0.414,0.228
0.346,0.419,0.235
0.343,0.420,0.237
0.336,0.414,0.251
0.356,0.418,0.226
0.358,0.411,0.231
0.344,0.418,0.238
0.380,0.402,0.218
0.371,0.426,0.203
0.354,0.418,0.229
0.353,0.418,0.228
0.367,0.416,0.217
0.383,0.396,0.221
0.380,0.420,0.200
0.379,0.411,0.210
0.389,0.403,0.209
0.362,0.408,0.230
0.360,0.402,0.238
0.353,0.421,0.226
0.355,0.413,0.232
0.349,0.422,0.229
0.347,0.417,0.236
0.344,0.385,0.271
0.366,0.413,0.221
0.358,0.423,0.220
0.363,0.402,0.235
0.374,0.426,0.200
0.365,0.441,0.194
0.363,0.423,0.214
0.350,0.425,0.225
0.352,0.428,0.220
0.360,0.428,0.212
0.357,0.419,0.223
0.314,0.498,0.188
0.332,0.442,0.226
0.351,0.421,0.228
0.341,0.420,0.239
0.350,0.434,0.215
0.371,0.429,0.199
