Red,Green,Blue
0.353,0.384,0.263
0.343,0.413,0.244
0.339,0.415,0.246
0.366,0.376,0.258
0.343,0.398,0.259
0.356,0.387,0.257
0.328,0.428,0.244
0.343,0.409,0.247
0.334,0.427,0.238
0.337,0.400,0.263
0.315,0.436,0.250
0.341,0.425,0.234
0.343,0.418,0.239
0.350,0.407,0.243
0.327,0.423,0.249
0.350,0.396,0.254
0.338,0.410,0.252
0.319,0.443,0.238
0.331,0.442,0.227
0.324,0.439,0.237
0.314,0.463,0.223
0.340,0.432,0.228
0.326,0.454,0.221
0.327,0.449,0.224
0.316,0.455,0.230
0.329,0.433,0.238
0.337,0.448,0.216
0.342,0.413,0.245
0.346,0.424,0.230
0.334,0.432,0.234
0.347,0.420,0.233
0.357,0.396,0.247
0.353,0.416,0.231
0.344,0.406,0.251
0.348,0.418,0.234
0.342,0.413,0.246
0.346,0.400,0.254
0.344,0.434,0.223
0.343,0.410,0.247
0.350,0.402,0.248
0.340,0.435,0.225
0.346,0.420,0.234
0.336,0.439,0.225
0.348,0.414,0.237
0.341,0.432,0.228
0.335,0.418,0.247
0.339,0.426,0.234
0.347,0.414,0.238
0.345,0.431,0.224
0.347,0.415,0.238
0.323,0.448,0.230
0.344,0.427,0.230
0.348,0.430,0.222
0.358,0.419,0.223
0.357,0.415,0.228
0.346,0.414,0.240
0.349,0.417,0.235
0.357,0.408,0.235
0.354,0.412,0.234
0.331,0.441,0.229
0.346,0.407,0.246
0.349,0.420,0.231
0.341,0.420,0.239
0.343,0.420,0.237
0.339,0.430,0.231
0.339,0.435,0.226
0.332,0.445,0.222
0.336,0.441,0.224
0.347,0.415,0.238
0.335,0.415,0.249
0.342,0.421,0.237
0.336,0.426,0.238
0.328,0.431,0.241
0.341,0.430,0.229
0.339,0.432,0.228
0.350,0.413,0.236
0.345,0.435,0.220
0.349,0.418,0.234
